CC,ECC,PI,PSN
DE,e0,1362,FRANKFRT
DE,e0,1364,harmony 
DE,e0,1367,RFM     
DE,e0,1381,ZuSa    
DE,e0,1382,evw     
DE,e0,13a2,City88.4
DE,e0,13eb,CAMPFM  
DE,e0,140a,SEEFUNK 
DE,e0,140b,uni FM  
DE,e0,1416,ILMWELLE
DE,e0,141a, EXTRA  
DE,e0,141b,GALAXY  
DE,e0,141d,GALAXY  
DE,e0,141e,GALAXY  
DE,e0,1437,COTTBUS 
DE,e0,1441,ROLAND  
DE,e0,1442,ENERGYHB
DE,e0,1451,HH ZWEI 
DE,e0,1461, RADAR  
DE,e0,1463,RUM90.1 
DE,e0,1465, radio r
DE,e0,147a, OK M-V 
DE,e0,1481,r-aktiv 
DE,e0,1492,CT 90MHZ
DE,e0,14ab, MAINZ  
DE,e0,14c1, LAUSITZ
DE,e0,14c2,  R.SA  
DE,e0,14c3,VOGTLAND
DE,e0,14cd,RadioWSW
DE,e0,14d1,"92,5 hbw"
DE,e0,14d2, corax  
DE,e0,14e1,  OKSH  
DE,e0,14e2,SYLTFUNK
DE,e0,1509,ENERGY  
DE,e0,150d,horads  
DE,e0,152e, 88vier 
DE,e0,1538,radioSKW
DE,e0,1582,.RadioOS
DE,e0,15aa,ANTENNE 
DE,e0,15c1, DRESDEN
DE,e0,15ce,LAUSITZW
DE,e0,15f1,SRB.FM  
DE,e0,15f2,F.R.E.I.
DE,e0,15f3, ENNO   
DE,e0,15f4,WB-Radio
DE,e0,15f5,OKJ     
DE,e0,15f6,"hsf 98,1"
DE,e0,1609,ENERGY  
DE,e0,161c,CHARVARI
DE,e0,16c1, LEIPZIG
DE,e0,16f2, LOTTE  
DE,e0,1702,baden.fm
DE,e0,1709,ENERGY  
DE,e0,170b,NCKRBURG
DE,e0,1713,FANTASY 
DE,e0,171c,CHARVARI
DE,e0,171e,  GONG  
DE,e0,1735,radio B2
DE,e0,1738, BHeins 
DE,e0,178d,RADIO38 
DE,e0,179a,RADIOFH 
DE,e0,17c1,CHEMNITZ
DE,e0,181c,CHARVARI
DE,e0,1888,NORDSEE 
DE,e0,18c1, ZWICKAU
DE,e0,191c,CHARVARI
DE,e0,19c1, ERZGEB.
DE,e0,1a12,GALAXY  
DE,e0,1a13,GALAXY  
DE,e0,1a14,GALAXY  
DE,e0,1a15,GALAXY  
DE,e0,1a16,GALAXY  
DE,e0,1a17,GALAXY  
DE,e0,1a18,GALAXY  
DE,e0,1a1c,CHARVARI
DE,e0,1a29,  ALEX  
DE,e0,1a6a,RRW 92.5
DE,e0,1a8b,TONKUHLE
DE,e0,1a9a,Radio Q 
DE,e0,1aa2,ANTENNE 
DE,e0,1ac5, apollo 
DE,e0,1aca,"99,3 RMW"
DE,e0,1b0a, SEEFUNK
DE,e0,1b12,GALAXY  
DE,e0,1b16,ENERGY  
DE,e0,1b19,GALAXY  
DE,e0,1b2c,RUSSKIJ 
DE,e0,1b2e,TEDDY   
DE,e0,1b6c,  FRK   
DE,e0,1b81,Radio MW
DE,e0,1b82,HANNOVER
DE,e0,1ba4,ANTENNE 
DE,e0,1bc7,ColoRad 
DE,e0,1bce,RADIO T 
DE,e0,1bcf, B L A U
DE,e0,1c13,AFK MAX 
DE,e0,1c15,RADIO Z 
DE,e0,1ca4,ANTENNE 
DE,e0,1ca5,ANTENNE 
DE,e0,1d3b,pure fm 
DE,e0,1ea8,ANTENNE 
DE,e0,3d44,AFNEAGLE
DE,e0,6474,RADIO700
DE,e0,abcd,bonnFM  
DE,e0,c380, BFBS R2
DE,e0,d00f,AFNEAGLE
DE,e0,d01b,RADIO N1
DE,e0,d01c, HOREB  
DE,e0,d01d,  LORA  
DE,e0,d02e,BBCWorld
DE,e0,d045,Bremen 5
DE,e0,d04e,AFNEAGLE
DE,e0,d064,Radio Ho
DE,e0,d078,DUISBURG
DE,e0,d07b,R WUPPER
DE,e0,d07e,  LEV   
DE,e0,d09b,Antenne 
DE,e0,d09c,90.1 MG 
DE,e0,d09e,ANTENNE 
DE,e0,d0aa,RadioEIT
DE,e0,d0ca,RADIO MH
DE,e0,d0d0,  fips  
DE,e0,d0db,89.0 RTL
DE,e0,d210,  DLF   
DE,e0,d220,Dlf Kult
DE,e0,d301,SWR1 BW 
DE,e0,d308,REGNBOGN
DE,e0,d309,DONAU3FM
DE,e0,d30a,antenne1
DE,e0,d30b,RADIO7  
DE,e0,d30c,  neue  
DE,e0,d30e,RGNBGN 2
DE,e0,d30f,NECKRALB
DE,e0,d311,BAYERN 1
DE,e0,d312,Bayern 2
DE,e0,d313,BAYERN 3
DE,e0,d314,BR-KLASS
DE,e0,d315,B5 akt  
DE,e0,d318,ANTENNE 
DE,e0,d319,ROCK ANT
DE,e0,d31f,RSARADIO
DE,e0,d321, BERLIN 
DE,e0,d323, kultur 
DE,e0,d324, COSMO  
DE,e0,d32b,"94,3 rs2"
DE,e0,d32c,BRF 91.4
DE,e0,d332, radio1 
DE,e0,d333, Fritz  
DE,e0,d335,  Info  
DE,e0,d338,BB RADIO
DE,e0,d341,BREMEN 1
DE,e0,d342,BREMEN 2
DE,e0,d343,COSMO   
DE,e0,d344,BREMEN 4
DE,e0,d345,NEXT    
DE,e0,d358,RADIO HH
DE,e0,d361,  hr1   
DE,e0,d362,  hr2   
DE,e0,d363,  hr3   
DE,e0,d364,  hr4   
DE,e0,d366, YOU FM 
DE,e0,d367,hr-iNFO 
DE,e0,d368, F F H  
DE,e0,d369,planet  
DE,e0,d371,NDR 1 MV
DE,e0,d378, Ant MV 
DE,e0,d379, OSTSEE 
DE,e0,d381,NDR1 NDS
DE,e0,d382, NDR 2  
DE,e0,d383,NDR Kult
DE,e0,d384,NDR Info
DE,e0,d385, N-JOY  
DE,e0,d388,  ffn   
DE,e0,d389,ANTENNE 
DE,e0,d38a,RADIO 21
DE,e0,d390, BFBS 1 
DE,e0,d391, 1LIVE  
DE,e0,d392,WDR 2   
DE,e0,d393,WDR 3   
DE,e0,d394,WDR 4   
DE,e0,d395,WDR 5   
DE,e0,d399,MUENSTER
DE,e0,d39d, HELLWEG
DE,e0,d3a1,SWR1 RP 
DE,e0,d3a2,  SWR2  
DE,e0,d3a3,  SWR3  
DE,e0,d3a5,DASDING 
DE,e0,d3a6,SWR Aktu
DE,e0,d3a8, RPR1.  
DE,e0,d3a9, big FM 
DE,e0,d3aa,ROCKLAND
DE,e0,d3b1,  SR 1  
DE,e0,d3b2,  SR 2  
DE,e0,d3b3,  SR 3  
DE,e0,d3b5,Unser   
DE,e0,d3b8,  SALUE 
DE,e0,d3b9,CLASSIC 
DE,e0,d3c2,MDR JUMP
DE,e0,d3c3, KULTUR 
DE,e0,d3c8,RADIOPSR
DE,e0,d3c9,HITR.RTL
DE,e0,d3ce, ENERGY 
DE,e0,d3d4,SPUTNIK 
DE,e0,d3d5,AKTUELL 
DE,e0,d3d8,BROCKEN 
DE,e0,d3d9, S A W  
DE,e0,d3da,ROCKLAND
DE,e0,d3e1,NDR 1 SH
DE,e0,d3e8,  R.SH  
DE,e0,d3e9, delta  
DE,e0,d3ea,RADIOBOB
DE,e0,d3f8,ANT.THUE
DE,e0,d3f9,LANDESW.
DE,e0,d408,REGNBOGN
DE,e0,d409,Sunshine
DE,e0,d40a,antenne1
DE,e0,d40b,RADIO7  
DE,e0,d40c,  neue  
DE,e0,d40d, O H R  
DE,e0,d411,B1 Obb  
DE,e0,d412,Bayern2S
DE,e0,d419,PRIMATON
DE,e0,d41a, CHARI  
DE,e0,d41c,KULMBACH
DE,e0,d41d,RAMASURI
DE,e0,d41e,RADIO 8 
DE,e0,d41f,RSARADIO
DE,e0,d42a,104.6RTL
DE,e0,d431,Antenne 
DE,e0,d451,"NDR 90,3"
DE,e0,d468, FFH-KS 
DE,e0,d46a,RADIOBOB
DE,e0,d471,NDR 1 SN
DE,e0,d478,  LIPPE 
DE,e0,d47a,  ESSEN 
DE,e0,d47b,RADIORUR
DE,e0,d47c,BONN/SU 
DE,e0,d47d,   RSG  
DE,e0,d47e,ANT UNNA
DE,e0,d481,NDR1 HAN
DE,e0,d488,ffn H   
DE,e0,d489,ANTENNE 
DE,e0,d48a,RADIO 21
DE,e0,d48c,  RT1   
DE,e0,d492,WDR 2 AC
DE,e0,d496,WDRcosmo
DE,e0,d498,SAUERLAN
DE,e0,d499,RADIO KW
DE,e0,d49a,  ERFT  
DE,e0,d49d, HELLWEG
DE,e0,d49e,Radio EU
DE,e0,d4a3,GP-Radio
DE,e0,d4a8,RPR1. KO
DE,e0,d4aa,ROCKLAND
DE,e0,d4c1,MDR SACH
DE,e0,d4d1,MDR S-AN
DE,e0,d4d9, S A W  
DE,e0,d4e1,NDR 1 KI
DE,e0,d4e8,R.SH    
DE,e0,d4e9,delta   
DE,e0,d4ea,RADIOBOB
DE,e0,d4f1,MDR THUE
DE,e0,d4f8,AT-WEST 
DE,e0,d4f9,LANDESW.
DE,e0,d503,NovumFM 
DE,e0,d508,REGNBOGN
DE,e0,d509,DONAU3FM
DE,e0,d50a,antenne1
DE,e0,d50c,  neue  
DE,e0,d50e,RGNBGN 2
DE,e0,d511,B1 Fran 
DE,e0,d512,Bayern2N
DE,e0,d51a,RT1 NORD
DE,e0,d51f,RSARADIO
DE,e0,d52f,SPREE   
DE,e0,d531,Antenne 
DE,e0,d564,hr4 Nord
DE,e0,d568, FFH-GI 
DE,e0,d571,NDR1 HRO
DE,e0,d579,BIELEFLD
DE,e0,d57a,ANTENNE 
DE,e0,d57b,ANTENNE 
DE,e0,d57c,  VEST  
DE,e0,d57d, BOCHUM 
DE,e0,d581,NDR 1 LG
DE,e0,d582,NDR 2 HH
DE,e0,d588,ffn BS-H
DE,e0,d58a,RADIO 21
DE,e0,d58c,  RT1   
DE,e0,d592,WDR 2 BI
DE,e0,d598, HERNE  
DE,e0,d599,KOELN   
DE,e0,d59d, HELLWEG
DE,e0,d5a8,RPR1. TR
DE,e0,d5a9, big FM 
DE,e0,d5aa,ROCKLAND
DE,e0,d5c1,MDR SACH
DE,e0,d5d1,MDR S-AN
DE,e0,d5d9, S A W  
DE,e0,d5e1,NDR 1 FL
DE,e0,d5e8,R.SH KI 
DE,e0,d5e9,delta KI
DE,e0,d5ea,RADIOBOB
DE,e0,d5f1,MDR THUE
DE,e0,d5f8,AT-Nord 
DE,e0,d5f9,LANDESW.
DE,e0,d608,REGNBOGN
DE,e0,d609,DONAU3FM
DE,e0,d60a,antenne1
DE,e0,d60b,RADIO7  
DE,e0,d60c,  neue  
DE,e0,d60e,REGNBGN2
DE,e0,d61a,UNSRADIO
DE,e0,d61f,RSARADIO
DE,e0,d631,Antenne 
DE,e0,d668,  FFH-F 
DE,e0,d671,NDR1 HGW
DE,e0,d681,NDR 1 OL
DE,e0,d688,ffn Goe 
DE,e0,d689,ANTENNE 
DE,e0,d68a,RADIO 21
DE,e0,d692,WDR 2 DO
DE,e0,d6a4,SWR4 KO 
DE,e0,d6a8,RPR1. MZ
DE,e0,d6aa,ROCKLAND
DE,e0,d6c1,MDR SACH
DE,e0,d6d1,MDR S-AN
DE,e0,d6d9, S A W  
DE,e0,d6e1,NDR1 HEI
DE,e0,d6e8,R.SH    
DE,e0,d6e9,delta   
DE,e0,d6ea,RADIOBOB
DE,e0,d6f1,MDR THUE
DE,e0,d6f8,AT-Mitte
DE,e0,d6f9,LANDESW.
DE,e0,d704,SWR4 TU 
DE,e0,d709,DONAU3FM
DE,e0,d70a,antenne1
DE,e0,d70b,RADIO7  
DE,e0,d70d,RADIOTON
DE,e0,d711,B1 Main 
DE,e0,d71a,UNSRADIO
DE,e0,d71b,RADIO IN
DE,e0,d71f,RSARADIO
DE,e0,d731,Antenne 
DE,e0,d75b,KLASSIK 
DE,e0,d764,hr4Mitte
DE,e0,d768, FFH-DA 
DE,e0,d771,NDR 1 NB
DE,e0,d781,NDR 1 OS
DE,e0,d782,NDR 2 MV
DE,e0,d788,ffn HH  
DE,e0,d789,ANTENNE 
DE,e0,d78c,  GONG  
DE,e0,d78e,  EINS  
DE,e0,d792,WDR 2 RR
DE,e0,d798, HERFORD
DE,e0,d79a,RADIOWMW
DE,e0,d79b,  BERG  
DE,e0,d79c,RADIO MK
DE,e0,d79e,HOCHSTFT
DE,e0,d7a4,SWR4 KL 
DE,e0,d7a8,RPR1. KL
DE,e0,d7aa,ROCKLAND
DE,e0,d7c1,MDR SACH
DE,e0,d7c4,MDR SORB
DE,e0,d7d1,MDR S-AN
DE,e0,d7d9, S A W  
DE,e0,d7e1,NDR 1 HL
DE,e0,d7e8,R.SH HH 
DE,e0,d7e9,delta HH
DE,e0,d7ea,RADIOBOB
DE,e0,d7f1,MDR THUE
DE,e0,d7f8,AT-SUED 
DE,e0,d7f9,LANDESW.
DE,e0,d804,SWR4 KA 
DE,e0,d80a,antenne1
DE,e0,d80b,RADIO7  
DE,e0,d80c,  neue  
DE,e0,d811,B1 NbOpf
DE,e0,d81a,UNSRADIO
DE,e0,d831,Antenne 
DE,e0,d864,hr4 Sued
DE,e0,d868, FFH-FD 
DE,e0,d871,NDR1 HWI
DE,e0,d881,NDR 1 BS
DE,e0,d882, NDR 2  
DE,e0,d888,ffn OL  
DE,e0,d889,ANTENNE 
DE,e0,d88a,RADIO 21
DE,e0,d8a4,SWR4 LU 
DE,e0,d8a8,RPR1. LU
DE,e0,d8a9, big FM 
DE,e0,d8aa,ROCKLAND
DE,e0,d8c1,MDR SACH
DE,e0,d8d9, S A W  
DE,e0,d8e1,NDR1 NOR
DE,e0,d8e8, R.SH   
DE,e0,d8e9,delta HE
DE,e0,d8f8,AT-OST  
DE,e0,d8f9,LANDESW.
DE,e0,d904, SWR4 S 
DE,e0,d911,B1 Schw 
DE,e0,d91a,PRIMVERA
DE,e0,d91b,RT1 SUED
DE,e0,d91e,OBERLAND
DE,e0,d968, FFH-WI 
DE,e0,d988,ffn OS  
DE,e0,d989,ANTENNE 
DE,e0,d98a,RADIO 21
DE,e0,d992,WDR 2 K 
DE,e0,d9a8,RPR1. MZ
DE,e0,d9aa,ROCKLAND
DE,e0,da04,SWR4 FN 
DE,e0,da0d,RADIOTON
DE,e0,da19,GONG FM 
DE,e0,da1a,EUROHERZ
DE,e0,da1b, BAMBERG
DE,e0,da1c,BAYWELLE
DE,e0,da58,ENNEPE R
DE,e0,da78,KIEPENKL
DE,e0,da79,REL     
DE,e0,da7a,PARADISO
DE,e0,da7b,RLW HAMM
DE,e0,da88,ffnHeide
DE,e0,da89,ANTENNE 
DE,e0,da8a,RADIO 21
DE,e0,da92,WDR 2 MS
DE,e0,da9a,RadioWAF
DE,e0,da9b,GUETERSL
DE,e0,da9c,R WESTF 
DE,e0,da9d,RADIORST
DE,e0,daa4,SWR4 MZ 
DE,e0,daa8,RPR1. K 
DE,e0,daaa,ROCKLAND
DE,e0,daec,RADIO OB
DE,e0,dafa,*TOP 40*
DE,e0,db04,SWR4 FR 
DE,e0,db0d,RADIOTON
DE,e0,db19,  ISW   
DE,e0,db1a,ALPENWEL
DE,e0,db7a, TOP FM 
DE,e0,db88,ffn Cux 
DE,e0,db8a,RADIO 21
DE,e0,db92,WDR 2 SI
DE,e0,db98,WELLE NR
DE,e0,db9b,RADIO912
DE,e0,db9d,SIEGEN  
DE,e0,dc04,SWR4 MA 
DE,e0,dc0d,RADIOTON
DE,e0,dc1b, CHARI  
DE,e0,dc1e,MAINWELL
DE,e0,dc7a, TOP FM 
DE,e0,dc88,ffn Meer
DE,e0,dc8a,RADIO 21
DE,e0,dc92,WDR 2 W 
DE,e0,dc98,WN KR   
DE,e0,dc99, HAGEN  
DE,e0,dca4,SWR4 TR 
DE,e0,dd04,SWR4 HN 
DE,e0,dd0d,RADIOTON
DE,e0,dd1b,TRAUSNTZ
DE,e0,dd7a, TOP FM 
DE,e0,dd88,ffn EL  
DE,e0,dd8a,93.4 GOE
DE,e0,dd98,WN VIE  
DE,e0,dd9f,NEWS89.4
DE,e0,de04,SWR4 UL 
DE,e0,de19, ENERGY 
DE,e0,de1e,  AWN   
DE,e0,de1f,STAR FM 
DE,e0,de82,NDR 2 SH
DE,e0,df8a,104.1 OL
DE,e0,f000,HERTZ879
DK,e1,0f98,FR.VAERK
DK,e1,6699,  GULD  
DK,e1,8235,abol fm 
DK,e1,9002, AKTIV  
DK,e1,9064,RADIO MB
DK,e1,9201,   DR   
DK,e1,9203,DR P3   
DK,e1,9204,24syv   
DK,e1,9205,  NOVA  
DK,e1,9206, POP FM 
DK,e1,92bc,MIDTFYN 
DK,e1,92c5, *GULD* 
DK,e1,92f1,Skala FM
DK,e1,9323,OdenseLR
DK,e1,93c5, Globus 
DK,e1,9402,DRP4 BOR
DK,e1,9412,ALFA    
DK,e1,94ac,Arken   
DK,e1,94bd,VICTORIA
DK,e1,94cf, ANR    
DK,e1,94f1,skala fm
DK,e1,94ff,NORDJSKE
DK,e1,9502,DRP4 M/V
DK,e1,95ba,RadioMAX
DK,e1,95bf,* Alfa *
DK,e1,95c3,Radio M 
DK,e1,95c6,KLITHOLM
DK,e1,95cd,KLITHOLM
DK,e1,95cf,  ANR   
DK,e1,95de,RINGKØBI
DK,e1,95ff,NORDJSKE
DK,e1,9602,DRP4 KBH
DK,e1,9618,902FM   
DK,e1,9619,THEVOICE
DK,e1,961c,gladsaxe
DK,e1,9624, myROCK 
DK,e1,9626,Roedovre
DK,e1,9628,90.4 Kbh
DK,e1,96cf, ANR    
DK,e1,96f1,skala fm
DK,e1,96ff,NORDJSKE
DK,e1,9729,DINRADIO
DK,e1,972a,  SOFT  
DK,e1,972b,HUMLEBOR
DK,e1,9735,UPDATE  
DK,e1,9739,NORD-FM 
DK,e1,973c,104.7HBG
DK,e1,973f,Radio100
DK,e1,97a2,  SOFT  
DK,e1,97c5, *GULD* 
DK,e1,97cf, ANR    
DK,e1,97f0,UniRadio
DK,e1,97f1,skala fm
DK,e1,9802,DRP4-SJL
DK,e1,984c,KOGE    
DK,e1,9876, MIX FM 
DK,e1,98c5, *GULD* 
DK,e1,98f1,skala fm
DK,e1,9902,DRP4 SJL
DK,e1,9927,LIMFJORD
DK,e1,992c, SKIVE  
DK,e1,993b, VIBORG 
DK,e1,9940,* Alfa *
DK,e1,9942,* MIX * 
DK,e1,9956,Alfa Aar
DK,e1,995d,SkiveLR 
DK,e1,9976,Ostsjl. 
DK,e1,997c,SilkeNR 
DK,e1,9987,SYDHAVS 
DK,e1,99a1,* Alfa *
DK,e1,99a5,RADIOHSR
DK,e1,99af,LIMFJORD
DK,e1,99ff, Mercur 
DK,e1,9a02,DRP4 ESB
DK,e1,9a38,"106,3KBH"
DK,e1,9a4b,DKR     
DK,e1,9a53,SLR     
DK,e1,9a64,RADIO-K 
DK,e1,9a65,ODSHERRD
DK,e1,9af1,skala fm
DK,e1,9b02,DRP4 FYN
DK,e1,9b2d,Lange-  
DK,e1,9b30,  DIABLO
DK,e1,9b35,Nordfyn 
DK,e1,9bf1,skala fm
DK,e1,9bfa,  VLR   
DK,e1,9c02,DRP4 SYD
DK,e1,9c10,Classic 
DK,e1,9c48,*GLOBUS*
DK,e1,9c4d, *VIVA* 
DK,e1,9c59,SYDVEST 
DK,e1,9cc5, Globus 
DK,e1,9cf1,skala fm
DK,e1,9cfa,  VLR   
DK,e1,9cff,NORDJSKE
DK,e1,9d02,DRP4 3KN
DK,e1,9d10,Classic 
DK,e1,9d44, Norea  
DK,e1,9d72,Aadalen 
DK,e1,9d7a,"GIVE96,6"
DK,e1,9dba,  VLR   
DK,e1,9df1,Skala FM
DK,e1,9dfa,  VLR   
DK,e1,9e02,DRP4OSTJ
DK,e1,9e10,Classic 
DK,e1,9e11,  ABC   
DK,e1,9e4a,Favrskov
DK,e1,9e5f,Randers 
DK,e1,9e66,R.Roende
DK,e1,9e6e, *Alfa* 
DK,e1,9e6f,SILKEBRG
DK,e1,9e7b,Mariager
DK,e1,9e82,Skandbrg
DK,e1,9e89,RadioHLR
DK,e1,9ea2,* Alfa *
DK,e1,9ea3,   Solo 
DK,e1,9ea4,   Solo 
DK,e1,9ea6,   Solo 
DK,e1,9ea7,   Solo 
DK,e1,9ea9, go!FM  
DK,e1,9eaa,AARHUS 2
DK,e1,9eb1,Classic 
DK,e1,9efa,  VLR   
DK,e1,9f02,DRP4 NR 
DK,e1,9f60,* NORD *
DK,e1,9f75,BR.SLEV 
DK,e1,9f83,FR.HAVN 
DK,e1,9f8b,SKAGA FM
DK,e1,9f96,MIDTFJOR
DK,e1,9f97, LVN    
DK,e1,9f9e,Sindal  
DK,e1,9fcd,FOLKET  
DK,e1,9fcf, ANR    
DK,e1,f600,skala fm
DK,e1,f945,Party   
DK,e1,ff14, BOOST  
DK,e1,ff9f,SMOOOTH 
EE,e4,1244,VOLNA   
EE,e4,2014,TRE 91.3
EE,e4,2035,ARIPAEVA
EE,e4,2049,JUMOR FM
EE,e4,205e,MANIA   
EE,e4,2070,"TRE 92,7"
EE,e4,2079,"DFM 90,2"
EE,e4,2098,SSSRadio
EE,e4,2099,RUUT FM 
EE,e4,20e5,TALLINN 
EE,e4,20ea,NRJ     
EE,e4,2203,TreRadio
EE,e4,22e1,VIKER   
EE,e4,22e2,RAADIO 2
EE,e4,22e3,KLASSIKA
EE,e4,22e4,RAADIO 4
EE,e4,22ee,SKYPLUS 
EE,e4,2301,STAR FM 
EE,e4,2321, MyHits 
EE,e4,2322, ELMAR  
EE,e4,2323,  KUKU  
EE,e4,2376,  *SR*  
EE,e4,2377, *PERE* 
EE,e4,23eb,RETRO FM
EE,e4,23ed,"RR 101,2"
EE,e4,2402,POWER   
EE,e4,2404, -KADI- 
EE,e4,2466, HIT FM 
EE,e4,2478,HAPODHOE
EE,e4,2485,RAADIO 7
EE,e4,24ed,RR      
EE,e4,24ef,SKYRADIO
EE,e4,24f4,RING FM 
EE,e4,2fff,N6MME   
ES,e2,0009,INFO7   
ES,e2,000e,SKYRADIO
ES,e2,0020,SIE7E FM
ES,e2,0031,CUARENTA
ES,e2,0041,RAC MCA 
ES,e2,0069,ENJOY FM
ES,e2,0088,EXITO   
ES,e2,009e,OCCIDENT
ES,e2,00bf,RADIO HM
ES,e2,00e0,RADIOSOL
ES,e2,0111,INFO7   
ES,e2,0123,P.SABOR 
ES,e2,0250, ADVEN  
ES,e2,0333,Solidari
ES,e2,0340, MIJAS  
ES,e2,0469,"R,METROP"
ES,e2,0502,OndaCart
ES,e2,0896,DISTINTA
ES,e2,095e,ESTILOFM
ES,e2,0d4b," R,C,U  "
ES,e2,0e85,  AIRE  
ES,e2,0ee2,REVIVEFM
ES,e2,0f21,MERCURY 
ES,e2,0f99,RM 91.2 
ES,e2,0fff,R.MOLLET
ES,e2,1002,FLAMENCA
ES,e2,1003,R.S. FM 
ES,e2,1005,**AH**  
ES,e2,1012,RK20    
ES,e2,1013,  ONDA  
ES,e2,1020, FIEBRE 
ES,e2,1025,METROPOL
ES,e2,1031,EXITO   
ES,e2,1038,BOOM FM 
ES,e2,103f,EXITO R 
ES,e2,1062,  ONDA  
ES,e2,1074,COFRADE 
ES,e2,1076,R.LARODA
ES,e2,1077,  ONDA  
ES,e2,1078,RADIO7FM
ES,e2,1080, HOUSE  
ES,e2,10a2,RVSfm.ES
ES,e2,1111,Cupido  
ES,e2,1200,MANCHUEL
ES,e2,1233,LA NUEVA
ES,e2,1234,  BEAT  
ES,e2,1235, LOS40  
ES,e2,1267,MUCHROCK
ES,e2,127b,CAPITAL 
ES,e2,1290, MTV FM 
ES,e2,12a1,CODIGOFM
ES,e2,130b,CAPITAL 
ES,e2,1333,OID RAD.
ES,e2,1398,ZARAGOZA
ES,e2,1399,UNIVRSAL
ES,e2,1446,CUARENTA
ES,e2,1487,FACTORIA
ES,e2,1492,CANAL 4 
ES,e2,1638,SI FM   
ES,e2,16de,SUPER FM
ES,e2,1708,AREA FM 
ES,e2,1714,RockStar
ES,e2,1909,LATINOS 
ES,e2,1ff9,RUSSKOE 
ES,e2,2000,EMANUEL 
ES,e2,2001, EL DIA 
ES,e2,2050,VICIOUS 
ES,e2,2069,Atalaya 
ES,e2,20a6,SPUTNIK 
ES,e2,220d,LOCA FM 
ES,e2,2222,ONDACERO
ES,e2,2244,BG RADIO
ES,e2,224f,R.A.    
ES,e2,22de,RNETWORK
ES,e2,2323,  FLOW  
ES,e2,2344,R.FUTBOL
ES,e2,23dd,MEMORYFM
ES,e2,244f,RVSfm.ES
ES,e2,24ff, MARCA  
ES,e2,2547,LOCA    
ES,e2,2671,ENERGYFM
ES,e2,2937,CAD-100 
ES,e2,2938,CANT FM 
ES,e2,2eff,RCERCEDA
ES,e2,2f1f,Gestiona
ES,e2,2f5b,fibwi   
ES,e2,3001,ATLANTIC
ES,e2,304e,LOCA FM 
ES,e2,3085,ONDANORT
ES,e2,3086,TKO fm  
ES,e2,31a4,PROXIMA 
ES,e2,3234,NON STOP
ES,e2,3294,La Mega 
ES,e2,32dd,MAGIX FM
ES,e2,3333,ONDACERO
ES,e2,333e,OASIS FM
ES,e2,3353,MM.RADIO
ES,e2,33d6,IMAGINA 
ES,e2,33de,Beach   
ES,e2,345a, HISPA  
ES,e2,345f,HISPA   
ES,e2,396e,BAYRADIO
ES,e2,3b4c,CHOPERA 
ES,e2,3cc1,RADIOLOT
ES,e2,3ec4,SANTA   
ES,e2,4204,SPECTRUM
ES,e2,4444,ONDACERO
ES,e2,4486,JUNTS   
ES,e2,44dd,BGROOVES
ES,e2,4585,CUBELLES
ES,e2,4616,MDTRADIO
ES,e2,4787,EMANUEL 
ES,e2,4a19,TEIBA FM
ES,e2,4b9a,VILABLRX
ES,e2,5002,*MAXEL* 
ES,e2,5004,  AIRE  
ES,e2,500d,  AIRE  
ES,e2,5011,PEQUE R.
ES,e2,5019, R.LUZS 
ES,e2,5020,PUNTO CA
ES,e2,5025,PONIENTE
ES,e2,502f,PENARNDA
ES,e2,5040, SWING  
ES,e2,5068,SINTONIA
ES,e2,506d,SPECTRUM
ES,e2,5136,ZUJAR   
ES,e2,5147, R.ASPE 
ES,e2,5179,VIDA    
ES,e2,51c9, UNION  
ES,e2,51cc,R.MARIA 
ES,e2,5200,AB 95 FM
ES,e2,5218,RTL102.5
ES,e2,521a,STUDIO+ 
ES,e2,5264,* RDS * 
ES,e2,5287,ESRADIO 
ES,e2,5312,COSTA  D
ES,e2,5320,HAPPY   
ES,e2,533d,ONDA    
ES,e2,53cb,  COPE  
ES,e2,53d7,AFN ROTA
ES,e2,5448, Europa 
ES,e2,54d1,AIRE    
ES,e2,5522,RAP107FM
ES,e2,5544,PLANETA 
ES,e2,5555,  RSB   
ES,e2,5699,CASTRO  
ES,e2,5833,PURSABOR
ES,e2,5946,SHEKINA 
ES,e2,5e29, GLOBO  
ES,e2,5e76,RADIOSOL
ES,e2,5ed6,ANDORRA 
ES,e2,6000,VALENCIA
ES,e2,6001,Europa  
ES,e2,600e,RADIOLUZ
ES,e2,6143, MELAN  
ES,e2,61ff, CLUBFM 
ES,e2,6666,EGUZKI  
ES,e2,6789,Domenys 
ES,e2,6956,Rad.Rubi
ES,e2,6969,  LUNA  
ES,e2,7012,  TV-10 
ES,e2,7015,  AIRE  
ES,e2,703a,CAPITAL 
ES,e2,7064,OCEAN FM
ES,e2,7195,CODIGOFM
ES,e2,722b,RUSSKOYR
ES,e2,73ff,SER 90.5
ES,e2,7710,Flamenca
ES,e2,788f,VIT     
ES,e2,7b22,R. EJIDO
ES,e2,8013,RPA FM  
ES,e2,80ae,  SER   
ES,e2,8115,MANIA   
ES,e2,8234, HOT FM 
ES,e2,82f0, XtraFM 
ES,e2,82fa, UBEDA  
ES,e2,83c6, Groove 
ES,e2,83f0,RADIO 1 
ES,e2,8598,MELODIA 
ES,e2,8750,  FLOW  
ES,e2,8764,SABADELL
ES,e2,8821,Spectrum
