CC,ECC,PI,PSN
BA,e4,f049,Miljacka
BA,e4,f04d,LJUBUSKI
BA,e4,f04e,*ORASJE*
BA,e4,f04f,Siroki  
BA,e4,f055,NARODNI 
BA,e4,f05a,  A S K 
BA,e4,f05b,**AVAZ**
BA,e4,f05d,BET**BFR
BA,e4,f064,R.BREZA 
BA,e4,f068, * RDV *
BA,e4,f069,PLAVI FM
BA,e4,f06a,GRADSKI 
BA,e4,f06b,GL.DRINE
BA,e4,f06d,GRADACAC
BA,e4,f06e,R.GRUDE 
BA,e4,f075,CITY K  
BA,e4,f077,KUPRESKI
BA,e4,f078,LIVNO1FM
BA,e4,f079,RADIO M 
BA,e4,f086,MIX     
BA,e4,f091,R. ZEPCE
BA,e4,f092,STUDIO-D
BA,e4,f09a,  FREE  
BA,e4,f09f,*KOZARA*
BA,e4,f0a3,*BOBAR* 
BA,e4,f0a6,**DAS** 
BA,e4,f0a8,RTVDOBOJ
BA,e4,f0ac,RTV HIT 
BA,e4,f0b4,NOVIGRAD
BA,e4,f0b6,O.S.M. R
BA,e4,f0bd, SKALA  
BA,e4,f0c1,*RTV IS*
BA,e4,f0d1,**ORV** 
BA,e4,f0d4,   NES  
BA,e4,f0e3,STUDIO M
BA,e4,f0ed,*ZENIT* 
BA,e4,f0ee,*ANTENA*
BA,e4,f0ef,RITAM ZE
BA,e4,f0f2,KALMAN S
BA,e4,f0f8,TNTRadio
BA,e4,f115,VKLADUSA
BA,e4,f116,R BRCKO 
BA,e4,f12d,OBICAN R
BA,e4,f12f,RADIOBIR
BA,e4,f13c,R ZENICA
BA,e4,f1cc,R.MARIJA
BA,e4,f1f4,*ACTIVE*
BA,e4,f201,BHRADIO1
BA,e4,f208,O.MREZA 
BA,e4,f209,RADIO-F.
BA,e4,f20c,O.MREZA 
BA,e4,f210,RADIO-HB
BA,e4,f222, RTV BN 
BA,e4,f24b,R MIR M 
BA,e4,f254,  RSG   
BA,e4,f262,*BOBAR* 
BA,e4,f285,ANTENA  
BA,e4,f28a, KALMAN 
BA,e4,f2fe,OSCAR C 
BA,e4,f303,KISS FM 
BA,e4,f320,BIG 3   
BA,e4,f324,VIKOM   
BA,e4,f339, * RDV *
BA,e4,f340, ILIJAS 
BA,e4,f37f,NES     
BA,e4,f38b,SLOBOMIR
BA,e4,f407,   99   
BA,e4,f40c,R-CAZIN 
BA,e4,f412,R KONJIC
BA,e4,f41f,BIG 1   
BA,e4,f421,BIG 2   
BA,e4,f44a,R-DRVAR 
BA,e4,f44e,POSUSJE 
BA,e4,f458,RTV 7 TZ
BA,e4,f459,Velkaton
BA,e4,f464,DZUNGLA 
BA,e4,f46a, RTV HIT
BA,e4,f478,RTV 7   
BA,e4,f493,STUDIO N
BA,e4,f495,OBICAN R
